STATE,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
PA,735817.4,740488.8,751740.8,757716.8,762362.2,771285.5,778782.2,783479.7,787927.1,797406.9,805317.2,808904.2,799361.3,712624.1,780989.3,793478.2
RI,57248.9,57725.4,58741.4,58624.2,58712.2,59294.5,59200,59956.5,61160.4,61476.5,61701.9,62232.5,62129,56239.4,61807.6,62906.5
SC,221071.1,222086.4,223598,226311.2,228886.2,232518,234319.6,237281.9,241349.4,243279.7,247970.5,251349.1,246255.1,229446.4,252175.1,253561.4
SD,50929.2,50440.6,49944.4,49615.8,52367.4,52197.9,52304.1,52327.9,53083.9,53391.9,54504.3,55025.1,55616.5,52316.9,56713,58078.5
TN,346227.9,348019.4,351460.6,357646.8,357654.6,361934.4,365634.6,366998.3,373661,377898.4,383656.9,385297.7,390390.8,344887.6,386450.3,394299.8
TX,1638433.6,1652848.4,1678203.8,1723451.4,1764065.6,1804332.8,1827160,1842028.5,1835028.1,1848510.8,1869142.2,1882349.9,1835659.5,1663638,1810327,1850108.9
UT,163014.5,165831.6,170489.5,175264,179124,183846.9,186588.1,188270.9,193563.5,193791.5,198394.9,200405.5,200477.5,191793.1,205741.3,210521.7
VT,32056.1,32088.7,32366.1,32553.6,32808.1,33164.1,33093.7,33201.4,33874,33874.6,34441.1,34733.5,35048.2,31281.2,34590.4,35154.6
VA,503892.6,507731.1,513169.9,519666.2,524538,531273.9,536405.3,539408.8,548094.6,552448.9,563263.9,567250.1,565892.6,525777.8,562664.7,573635.4
WA,506007,512108.4,523278.5,536244.3,551192.3,560994.4,571976.8,573092.1,585316.1,588672.6,598882.3,608056.2,613676.2,576558.7,630611.9,631029.7
WV,74600.8,74108.4,74694.5,75876.8,77161,78964.2,80359.4,80287,78475.7,79192.6,79709.2,79924.9,79164.3,69835.7,77801.1,79390.6
WI,315619.7,315384,320207.4,322030.4,328275.6,330392.2,334008.8,337317.8,339570.2,343990.6,346459.6,350925.3,346338.7,318138.3,346036.3,351851
WY,36477.8,37003.1,36788.4,37653.4,38543.2,39099.7,39492.4,39551.2,38844.4,39101.6,39585.8,40180.4,38795.7,33335.2,36303,36887.6
